utc_timestamp,cet_cest_timestamp,AT_load_actual_entsoe_transparency,AT_load_forecast_entsoe_transparency,AT_price_day_ahead,AT_solar_generation_actual,AT_wind_onshore_generation_actual,BE_load_actual_entsoe_transparency,BE_load_forecast_entsoe_transparency,DE_load_actual_entsoe_transparency,DE_load_forecast_entsoe_transparency,DE_solar_generation_actual,DE_wind_generation_actual,DE_wind_offshore_generation_actual,DE_wind_onshore_generation_actual,HU_load_actual_entsoe_transparency,HU_load_forecast_entsoe_transparency,HU_wind_onshore_generation_actual,LU_load_actual_entsoe_transparency,LU_load_forecast_entsoe_transparency
2015-01-14T11:00:00Z,2015-01-14T12:00:00+0100,8433.6,8460.03,36.32,115.98,212.56,12780.26,12700.28,69074.35,69559.68,3557.11,20796.41,415.74,20380.67,5612.87,5468.98,56.66,584,579
2015-01-14T23:00:00Z,2015-01-15T00:00:00+0100,6458,6843.71,36,0,1564.64,11006.91,10733.76,51020.9,51545.77,0,14819.2,541.68,14277.52,4619.11,4477.53,44.91,467,483
2015-01-15T11:00:00Z,2015-01-15T12:00:00+0100,9074.4,8648.14,38,99.94,378.72,12658.56,12487.26,69918.38,70821.8,3643.91,26282.2,522.56,25759.64,5522.78,5403.46,18.5,575,558
2015-01-15T23:00:00Z,2015-01-16T00:00:00+0100,7028.8,6857.97,23.33,0,1109.72,11048.95,10688.66,50421.44,50947.24,0,22766.61,424.14,22342.47,4619.57,4484.56,210.65,463,462
2015-01-16T11:00:00Z,2015-01-16T12:00:00+0100,9198.8,8394.02,39.58,134.31,83.46,12423.54,12430.72,68008.7,69165.13,4788.18,9555.32,540.77,9014.55,5649.63,5407.49,153.1,627,607
2015-01-16T23:00:00Z,2015-01-17T00:00:00+0100,6731.6,6802.65,42.44,0,1286,11102.16,10622.39,48957.54,51159.22,0,3666.82,417.8,3249.02,4529.77,4431.3,270.54,489,456
2015-01-17T11:00:00Z,2015-01-17T12:00:00+0100,7608,7608.6,45.11,88.47,152.7,11405.29,11371.14,57553.76,59068.18,4617.38,5102.19,515.09,4587.1,5223.67,5187.38,147.77,501,478
2015-01-17T23:00:00Z,2015-01-18T00:00:00+0100,6452.4,6604.56,39.68,0,395.91,10497.28,10404.53,45281.72,47680.85,0,7330.85,474.33,6856.52,4118.49,4097.83,29.61,470,445
2015-01-18T11:00:00Z,2015-01-18T12:00:00+0100,7870,7586.06,35.32,92.24,48.69,11319.04,10842.07,52701.16,55083.78,6544.38,5071.12,199.57,4871.55,5012.34,4839.22,0.4033,464,443
2015-01-18T23:00:00Z,2015-01-19T00:00:00+0100,6214.8,6640.1,45.66,0,15.38,10505.68,10093.93,46216.52,47654.08,0,3146.64,31.2,3115.44,4048.85,4003.11,1.45,470,416
2015-01-19T11:00:00Z,2015-01-19T12:00:00+0100,7483.6,8586.42,57.87,81.8,0.96,12897.23,12497.18,69572.75,69518.49,4856.27,805.58,13.33,792.25,5799.19,5490.53,56.66,642,612
2015-01-19T23:00:00Z,2015-01-20T00:00:00+0100,6711.2,6933.71,48.44,0,50.38,11439.87,10740.34,51112.05,50425.96,0,1301.85,37.65,1264.2,4519.16,4415.27,4.61,536,494
2015-01-20T11:00:00Z,2015-01-20T12:00:00+0100,8371.2,8752.24,57.7,60.24,525.3,12889.44,12795.93,70436.31,68642.53,2085.22,388.11,34.41,353.7,5718.3,5645.96,63.41,606,616
2015-01-20T23:00:00Z,2015-01-21T00:00:00+0100,4573.6,6560.05,32.74,0,58.43,11644.59,11256.04,51582.52,50599.74,0,829.79,85.72,744.07,4560.3,4415.27,3.78,519,497
2015-01-21T11:00:00Z,2015-01-21T12:00:00+0100,7760,8654.05,32.74,120.92,24.12,12915.34,13084.16,69749.9,69142.73,4618.32,1170.2,77.86,1092.34,5710.69,5605.96,56.66,620,615
2015-01-21T23:00:00Z,2015-01-22T00:00:00+0100,5100,6696.32,46.59,0,476.81,11559.87,11284.3,52038.44,51320.73,0,3752.13,106.66,3645.47,4575.7,4415.27,6.98,523,498
2015-01-22T11:00:00Z,2015-01-22T12:00:00+0100,7923.6,8608.08,57.98,104.25,397.56,13164.94,12886.97,70637.52,69135.29,2512.29,2120.81,47.12,2073.69,5763.01,5611.98,8.69,659,601
2015-01-22T23:00:00Z,2015-01-23T00:00:00+0100,6185.6,6527.44,32.74,0,14,11770.68,11295.34,51928.19,51356.04,0,1713.3,2.66,1710.64,4510.16,4410.56,0.29,530,500
2015-01-23T11:00:00Z,2015-01-23T12:00:00+0100,8272.8,8364.39,32.74,100.75,1225.91,13037.02,12786.17,69596.75,69289.96,1406.14,797.05,97.73,699.32,5817.48,5660.49,170.06,638,609
2015-01-23T23:00:00Z,2015-01-24T00:00:00+0100,6314,6769.38,47.43,0,1721.58,11644.27,11399.05,52141.83,50261.29,0,4156.71,485.2,3671.51,4546.23,4431.3,284.74,538,492
2015-01-24T11:00:00Z,2015-01-24T12:00:00+0100,6640.4,7662.26,41.14,72.94,1680.45,11929.41,11724,60073.11,59177.57,1992.61,5562.07,465.55,5096.52,5487.04,5204.38,254.22,567,498
2015-01-24T23:00:00Z,2015-01-25T00:00:00+0100,6355.6,6607.25,44.5,0,1674.14,10805.84,10791.78,46725.23,46897.7,0,7676.34,617.77,7058.57,4244.11,4047.83,268.48,495,457
2015-01-25T11:00:00Z,2015-01-25T12:00:00+0100,6315.6,7519.05,37.01,65.43,1607.11,11340.1,11397.27,54207.04,54451.3,2293.55,4144.25,316.96,3827.29,5209.94,5141.22,280.11,514,454
2015-01-25T23:00:00Z,2015-01-26T00:00:00+0100,6332.4,6747.89,44.41,0,1094.42,10236.76,10424.21,47462.47,45954.01,0,2947.71,396.02,2551.69,4196.35,3962.11,255.4,486,408
2015-01-26T11:00:00Z,2015-01-26T12:00:00+0100,8131.6,8705.69,51.65,120.39,188.85,12572.01,12735.58,71241.67,68595.34,2067.14,9549.3,565.44,8983.86,5711.52,5739.53,120.53,654,626
2015-01-26T23:00:00Z,2015-01-27T00:00:00+0100,6460,7032.39,37.55,0,393.02,10936.68,10936.53,51993.93,50585.95,0,15186.38,638.42,14547.96,4664.07,4456.27,47.24,494,497
2015-01-27T11:00:00Z,2015-01-27T12:00:00+0100,8181.6,8872.31,41.52,91.42,456.47,12462.21,12576.3,69637.56,70552.01,3695.42,12257.46,547.71,11709.75,5830.45,5674.98,35.78,629,616
2015-01-27T23:00:00Z,2015-01-28T00:00:00+0100,7138,7139.99,41.34,0,632.84,10996.86,10984.31,51808.81,52644.72,0,6388.14,467.48,5920.66,4700.64,4533.2,76.44,521,499
2015-01-28T11:00:00Z,2015-01-28T12:00:00+0100,8494.4,8968.06,48.22,133.42,211.89,12623.63,12681.4,71378.33,70966.67,3332.76,20488,690.52,19797.48,5673.67,5629.12,19.35,617,604
2015-01-28T23:00:00Z,2015-01-29T00:00:00+0100,7131.2,7155.41,23.92,0,1455.21,11128.67,10934.87,52221.14,52615.86,0,22400.4,607.53,21792.87,4754.21,4590.27,194.86,486,490
2015-01-29T11:00:00Z,2015-01-29T12:00:00+0100,8422.4,9049.04,29.18,85.56,140.48,12463.65,12680.55,72177.03,70199.34,5641.92,21688.97,617.47,21071.5,5965.06,5691.98,27.66,631,606
2015-01-29T23:00:00Z,2015-01-30T00:00:00+0100,6275.6,7275.23,35.57,0,1386.33,11320.99,11138.8,51738.98,53548.25,0,5991.84,70.79,5921.05,4681.13,4645.56,195.76,513,499
2015-01-30T11:00:00Z,2015-01-30T12:00:00+0100,7190.4,8862.94,49.59,59.84,140.03,12766.87,12595.4,69388.88,70613.6,2589.87,3936.53,9.67,3926.86,5911.37,5830.49,161.2,658,618
2015-01-30T23:00:00Z,2015-01-31T00:00:00+0100,5691.2,6719.56,42.87,0,1394.78,11261.69,10970.94,51454.24,49728.88,0,4966.11,110.55,4855.56,4643.28,4555.3,124.77,532,501
2015-01-31T11:00:00Z,2015-01-31T12:00:00+0100,6451.6,7652.3,41.2,124.33,56.43,11558.12,11368.53,58151.32,59263.34,3710.5,5181.12,66.4,5114.72,5305.94,5267.38,1.75,559,528
2015-01-31T23:00:00Z,2015-02-01T00:00:00+0100,6512.8,6377.13,44,0,111.17,10720.43,10449.22,46313.64,47424.57,0,5761.45,76.13,5685.32,4236.47,4156.83,33.38,541.28,510
2015-02-01T11:00:00Z,2015-02-01T12:00:00+0100,7573.2,7503.06,36,109.3,16.63,11487.11,11061.78,53022.91,54401.26,4617.12,3377.13,309.7,3067.43,5107.66,5077.22,0.8433,471.52,455
2015-02-01T23:00:00Z,2015-02-02T00:00:00+0100,6945.2,6360.34,20.96,0,483.48,10630.4,10209.65,48549.55,46951.29,0,7327.08,300.66,7026.42,4174.41,4079.11,6.32,513.26,484
2015-02-02T11:00:00Z,2015-02-02T12:00:00+0100,9614.8,8434.87,45.21,115.38,106.51,12770.93,12615.82,71004.21,68829.32,3821.76,9498.76,398.94,9099.82,5710.21,5605.53,9.9,615.14,612
2015-02-02T23:00:00Z,2015-02-03T00:00:00+0100,7635.6,6983.94,50.73,0,343.28,11552.06,11072.44,53261.97,51461.39,0,6985.54,276.51,6709.03,4682.4,4540.27,85.26,525,538
2015-02-03T11:00:00Z,2015-02-03T12:00:00+0100,9401.2,8905.15,57.02,163.47,26.04,12698.27,12620.96,70280.39,69285.36,5024.05,3730.55,370.63,3359.92,5682.85,5589.98,0.08,636,634
2015-02-03T23:00:00Z,2015-02-04T00:00:00+0100,7280,7267.33,47.8,0,185.86,11512.59,11292.31,53450.45,51702.97,0,2520.97,251.04,2269.93,4711.02,4571.54,44.12,522,542
2015-02-04T11:00:00Z,2015-02-04T12:00:00+0100,9310,9126.01,58.29,131.91,192.55,12735.02,12694.34,70455.42,69281.43,5887.31,1448.37,64.92,1383.45,5905.91,5631.98,43.13,605,609
2015-02-04T23:00:00Z,2015-02-05T00:00:00+0100,6616.4,7074.99,49,0,463.1,11779.16,11327.79,53729.5,52484.45,0,1011.16,200.9,810.26,4754.82,4588.01,65.77,528,533
2015-02-05T11:00:00Z,2015-02-05T12:00:00+0100,8896.8,9067.11,55.46,101.51,106.03,12975.44,12687.74,69986.58,69257.26,5517.08,3607.96,257.27,3350.69,5752.56,5736.61,6.95,620,590
2015-02-05T23:00:00Z,2015-02-06T00:00:00+0100,7004.8,7094.08,38.83,0,521.26,11848.43,11524.26,53627.4,52360.33,0,10351.55,93.79,10257.76,4745.97,4597.67,126.2,510,526
2015-02-06T11:00:00Z,2015-02-06T12:00:00+0100,8999.6,8881.95,50,106.81,847.2,12900.05,12776.1,69604.11,69033.21,8371.64,6672.17,4.34,6667.83,5839.42,5632.49,185.44,609,573
2015-02-06T23:00:00Z,2015-02-07T00:00:00+0100,7155.2,7084.06,80.88,0,1131.13,11722.18,11505.11,53394.37,49816.06,0,4271.59,189.27,4082.32,4694.23,4579.3,123.19,524,532
2015-02-07T11:00:00Z,2015-02-07T12:00:00+0100,8306.8,8000.74,82.62,169.1,674.9,11621.09,11795.49,59013.35,57642.93,8970.61,8507.57,708.73,7798.84,5302.84,5212.38,91.67,504,503
2015-02-07T23:00:00Z,2015-02-08T00:00:00+0100,6671.6,6968.21,72,0,1333.7,10648.84,10801.66,47699.56,47806.43,0,22921.41,679.42,22241.99,4302.05,4167.83,144.59,481,506
2015-02-08T11:00:00Z,2015-02-08T12:00:00+0100,7780,7862,56.2,127.4,1745.14,11139.89,11298.45,54028.48,53496.28,9079.54,17150.3,627.83,16522.47,5138.04,5034.22,304.11,489,443
2015-02-08T23:00:00Z,2015-02-09T00:00:00+0100,6862.8,6978.46,80.56,0,1272.19,10427.3,10233.9,49641.15,46305.39,0,15850.6,746.17,15104.43,4247.13,4122.11,269.22,487,487
2015-02-09T11:00:00Z,2015-02-09T12:00:00+0100,9646.8,8865.42,101.96,97.49,1447,12701.27,12489.87,71784.42,66324.88,2850.99,17615.3,711.72,16903.58,5883.13,5692.53,101.24,642,606
2015-02-09T23:00:00Z,2015-02-10T00:00:00+0100,7112.4,7191.45,36,0,1858.68,11250.36,11045.88,51910.82,51001.42,0,10427.94,672.31,9755.63,4719.98,4576.27,275.69,511,532
2015-02-10T11:00:00Z,2015-02-10T12:00:00+0100,9489.6,8984.62,49.81,113.37,1555.06,12901.51,12343.28,70377.32,70125.29,4361.3,7152.5,524.11,6628.39,5787.1,5641.98,207.19,623,611
2015-02-10T23:00:00Z,2015-02-11T00:00:00+0100,7041.2,7371.4,45,0,1200.91,11201.54,11100.31,51305.07,52057.86,0,2360.68,49.66,2311.02,4664.3,4622.27,176.47,503,547
2015-02-11T11:00:00Z,2015-02-11T12:00:00+0100,9815.2,9160.46,56.33,217.96,171.66,12748.99,12544.86,69842.7,69804.17,4377.62,558.55,34.48,524.07,5676.03,5619.98,27.44,617,624
2015-02-11T23:00:00Z,2015-02-12T00:00:00+0100,7034.4,7232.66,44,0,1.94,11466.83,11212.15,52166.35,51180.66,0,1450.38,9.42,1440.96,4660.68,4552.27,56.66,523,539
2015-02-12T11:00:00Z,2015-02-12T12:00:00+0100,9250.8,9043.94,52,170.5,806.97,12626.28,12519.82,69790.41,67328.12,7119.95,495.04,6.06,488.98,5601.16,5519.98,34.4,636,616
2015-02-12T23:00:00Z,2015-02-13T00:00:00+0100,7108.8,7218.87,45.71,0,899.01,11263.73,11379.72,52480.19,50951.79,0,2118.05,148.61,1969.44,4682.07,4580.56,96.02,521,532
2015-02-13T11:00:00Z,2015-02-13T12:00:00+0100,8989.2,8782.47,48.58,212.54,746.72,12328.99,12450.5,67668.9,69089.73,11009.15,2437.94,337.6,2100.34,5586.19,5420.11,48.08,610,596
2015-02-13T23:00:00Z,2015-02-14T00:00:00+0100,6896,7025.27,39.5,0,1045.76,10754.96,10922.96,50986.72,51119.53,0,6683.58,436.18,6247.4,4681.31,4461.3,89.41,488,528
2015-02-14T11:00:00Z,2015-02-14T12:00:00+0100,8150.4,7820.62,34.76,251.91,895.2,11203.83,11114.22,56882.85,58353.96,11484.81,2064.53,318.69,1745.84,5200.48,5106.38,57.05,502,473
